,Message,json_out
0,"I'll be working remotely as I moved to Imadol last night. I'm not feeling well, so I'll be taking breaks to rest throughout the day.","json

    ""name"": null,
    ""late"": true,
    ""leave"": false,
    ""WFH"": True,
    ""reason"": ""Not feeling well."",
    ""start_date"": ""2024-09-03"",
    ""end_date"": null"
1,Been feeling sick since yesterday. I'll be resting for the first half of the day. I'll join office in the second half.,"json

    ""name"": ""null"",
    ""late"": true,
    ""leave"": false,
    ""WFH"": ""First Half"",
    ""reason"": ""Feeling sick."",
    ""start_date"": ""2024-09-03"",
    ""end_date"": ""2024-09-03"""
2,Since nobody will be present at home tomorrow. I will be working from home tomorrow.,"
json

[
    {
        ""name"": ""null"",
        ""late"": false,
        ""leave"": false,
        ""WFH"": true,
        ""start_date"": ""2024-09-04"",
        ""end_date"": null,
        ""reason"": null
    }
]"
3,I will be late for standup or on first half leave tomorrow depending on how quickly the car issues will be resolved at the service center.,"json

    {
        ""name"": ""null"",
        ""late"": true,
        ""leave"": ""First Half"",
        ""WFH"": false,
        ""start_date"": ""2024-09-04"",
        ""end_date"": null,
        ""reason"": ""Car issues at the service center""
    }"
4,"I will be little bit late. Forgot phone at room while coming to office, got back to room again.","json

    {
        ""name"": null,
        ""late"": true,
        ""leave"": false,
        ""WFH"": false,
        ""reason"": ""Forgot phone at room while coming to office, got back to room again."",
        ""start_date"": ""2024-09-03"",
        ""end_date"": null
    }"
5,I'm working from home today as well!,"
json

    {
        ""name"": ""null"",
        ""late"": false,
        ""leave"": false,
        ""WFH"": true,
        ""reason"": null,
        ""start_date"": ""2024-09-03"",
        ""end_date"": null
    }"
6,"I have not been feeling well since yesterday evening (headache and dizziness again) so I will be working lightly remotely for today at least with rests. As for tomorrow, I will keep you guys updated depending on how I feel. Take care, guys.","json
[
    {
        ""name"": ""null"",
        ""late"": true,
        ""leave"": false,
        ""WFH"": true,
        ""start_date"": ""2024-09-04"",
        ""end_date"": null,
        ""reason"": ""Not feeling well""
    },
    {
        ""name"": ""null"",
        ""late"": false,
        ""leave"": true,
        ""WFH"": false,
        ""start_date"": ""2024-09-05"",
        ""end_date"": null,
        ""reason"": ""Depending on how they feel""
    }
]"
7,Waiting for my turn for defense might be a bit late for standup.,"json

[
    {
        ""name"": ""null"",
        ""late"": true,
        ""leave"": false,
        ""WFH"": null,
        ""start_date"": ""2024-09-03"",
        ""end_date"": null,
        ""reason"": ""Waiting for my turn for defense might be a bit late for standup.""
    }
]"
8,"I will be out for a while, I will be having lunch outside. See you after lunch.","json

[
    
    {
        ""name"": null,
        ""late"": false,
        ""leave"": false,
        ""WFH"": false,
        ""reason"": ""To have lunch"",
        ""start_date"": null,
        ""end_date"": null
    }
]"
9,Will be on leave for the first half. Nobody at home and ama not feeling well.,"json
[
    {
        ""name"": ""null"",
        ""late"": false,
        ""leave"": true,
        ""WFH"": null,
        ""start_date"": ""2024-09-04"",
        ""end_date"": ""2024-09-04"",
        ""reason"": ""Not feeling well.""
    }
]"
10,I have tonsils. Body needs a bit of a rest. I will be working from home today.,"json

    {
      ""name"": ""null"",
      ""late"": false,
      ""leave"": false,
      ""WFH"": true,
      ""reason"": ""Tonsils and body rest""
    }"
11,"I'm experiencing throat pain and a severe headache from last night, so I'll be working remotely today.","json

    {
        ""name"": ""null"",
        ""late"": true,
        ""leave"": false,
        ""WFH"": true,
        ""reason"": ""Experiencing throat pain and severe headache."",
        ""start_date"": ""2024-09-03"",
        ""end_date"": null
    }"
12,I'll be on first half leave. Need to visit government offices for some documents. Best of luck to me. I'll join in the second half.,"json

[
    
        ""name"": ""null"",
        ""late"": false,
        ""leave"": ""First Half"",
        ""WFH"": ""Second Half"",
        ""start_date"": ""2024-09-03"",
        ""end_date"": null,
        ""reason"": ""To visit government offices for some documents""
    
]"
13,I will on leave today. Not feeling well.,"json
[
    
        {
            ""name"": ""null"",
            ""late"": false,
            ""leave"": true,
            ""WFH"": false,
            ""start_date"": ""2024-09-03"",
            ""end_date"": null,
            ""reason"": ""Not feeling well.""
        }
    ]"
14,I am at college. I will be 1 hour late for office.,"json

[
    {
        ""name"": ""null"",
        ""late"": true,
        ""leave"": false,
        ""WFH"": null,
        ""start_date"": ""2024-09-03"",
        ""end_date"": ""2024-09-03"",
        ""reason"": ""At college""
    }
]"
15,I will be leaving about 60 to 90 minutes earlier today. And I am on leave tomorrow.,"json

[
    {
        ""name"": ""null"",
        ""late"": true,
        ""leave"": false,
        ""WFH"": false,
        ""start_date"": ""2024-09-03"",
        ""end_date"": null,
        ""reason"": ""Leaving 60 to 90 minutes earlier""
    },
    
    {
        ""name"": ""null"",
        ""late"": false,
        ""leave"": true,
        ""WFH"": false,
        ""start_date"": ""2024-09-04"",
        ""end_date"": null,
        ""reason"": null
    }
]"
16,"Period cramps, I'll be on leave today.","json

[
    {
        ""name"": null,
        ""late"": false,
        ""leave"": true,
        ""WFH"": false,
        ""start_date"": ""2024-09-03"",
        ""end_date"": null,
        ""reason"": ""Period cramps""
    }
]"
17,"There is a small Janmastami puja at home, I will be on first half leave. Will join office in the second half.","json

    {
        ""name"": ""null"",
        ""late"": false,
        ""leave"": ""First Half"",
        ""WFH"": ""Second Half"",
        ""start_date"": ""2024-09-03"",
        ""end_date"": null,
        ""reason"": null
    }"
18,I'll be working from home for a couple of days. Sechen is alone and I need to be on standby for Puntu. I won't be able to join the stand-up today.,"json

[
    {
        ""name"": ""null"",
        ""late"": false,
        ""leave"": false,
        ""WFH"": true,
        ""reason"": null,
        ""start_date"": ""2024-09-03"",
        ""end_date"": null
    },
    {
        ""name"": ""null"",
        ""late"": false,
        ""leave"": false,
        ""WFH"": true,
        ""reason"": ""To be on standby for Puntu"",
        ""start_date"": ""2024-09-03"",
        ""end_date"": null
    },
    {
        ""name"": ""null"",
        ""late"": false,
        ""leave"": true,
        ""WFH"": false,
        ""reason"": null,
        ""start_date"": ""2024-09-03"",
        ""end_date"": null
    }
]"
19,I am leaving early today for some work. Have a nice weekend.,"
json

[
    {
        ""name"": ""null"",
        ""late"": true,
        ""leave"": false,
        ""WFH"": false,
        ""start_date"": ""2024-09-03"",
        ""end_date"": null,
        ""reason"": ""Some work.""
    }
]"
20,I will be working from home for the first half and will be on leave for the second half of the day as I have to take Mamu to the hospital for some tests.,"json

[
    {
        ""name"": null,
        ""late"": false,
        ""leave"": ""Second Half"",
        ""WFH"": ""First Half"",
        ""start_date"": ""2024-09-03"",
        ""end_date"": null,
        ""reason"": null
    }
]"
21,"As mentioned in the stand-up yesterday, I will be working first half from home and then taking a second half leave to attend a friend's wedding reception. Have a good weekend, everyone. Cheers!","json

[
    
        ""name"": null,
        ""late"": false,
        ""leave"": ""Second Half"",
        ""WFH"": ""First Half"",
        ""start_date"": ""2024-09-03"",
        ""end_date"": null,
        ""reason"": null
    ,
    
        ""name"": null,
        ""late"": false,
        ""leave"": true,
        ""WFH"": false,
        ""start_date"": ""2024-09-03"",
        ""end_date"": null,
        ""reason"": ""Friend's wedding reception""
    
]"
22,"I'm dealing with severe back pain, so I'll be working from home. I might also step out for a hospital follow-up.","json

    {
        ""name"": null,
        ""late"": false,
        ""leave"": false,
        ""WFH"": true,
        ""reason"": ""Severe back pain"",
        ""start_date"": ""2024-09-03"",
        ""end_date"": null
    }"
23,I might be little late for standup.,"
json

{
    ""name"": ""null"",
    ""late"": true,
    ""leave"": false,
    ""WFH"": false,
    ""reason"": ""Late for standup"",
    ""start_date"": ""2024-09-03"",
    ""end_date"": null
}"
24,I might be a bit late due to a huge traffic jam. I might miss standup!,"json

    {
      ""name"": null,
      ""late"": true,
      ""leave"": false,
      ""WFH"": false,
      ""reason"": ""Huge traffic jam"",
      ""start_date"": null,
      ""end_date"": null
    }"
25,I will be on first half leave. Will join office on second half of the day.,"json

[
    {
        ""name"": ""null"",
        ""late"": false,
        ""leave"": true,
        ""WFH"": null,
        ""start_date"": ""2024-09-03"",
        ""end_date"": ""2024-09-03"",
        ""reason"": null
    },
    {
        ""name"": ""null"",
        ""late"": false,
        ""leave"": ""Second Half"",
        ""WFH"": null,
        ""start_date"": ""2024-09-03"",
        ""end_date"": null,
        ""reason"": null
    }
]"
26,"As I mentioned yesterday, will be working from home today. The pooja is going on so I will have to miss the standup.","json

    ""name"": ""null"",
    ""late"": false,
    ""leave"": false,
    ""WFH"": true,
    ""reason"": ""Pooja"",
    ""start_date"": ""2024-09-03"",
    ""end_date"": null"
27,I will be on leave today.,"json

    {
        ""name"": ""null"",
        ""late"": false,
        ""leave"": true,
        ""WFH"": false,
        ""start_date"": ""2024-09-03"",
        ""end_date"": null,
        ""reason"": null
    }"
